secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,delta,gamma,vega,theta,optionid,index_flag,issuer,exercise_style
101594,2018/06/11,2018/06/22,2018/06/11,P,172500,0.05,0.09,19,0.292503,-0.01936,0.004857,1.565332,-7.523268,120389709,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,175000,0.08,0.1,115,0.268241,-0.026146,0.006823,2.01599,-8.876361,120389710,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,177500,0.13,0.14,151,0.249722,-0.03974,0.010351,2.847744,-11.65012,120389711,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,180000,0.19,0.2,434,0.228098,-0.05908,0.015559,3.904073,-14.57522,120389712,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,182500,0.31,0.33,431,0.211474,-0.095742,0.024237,5.648777,-19.45173,120389713,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,185000,0.56,0.58,1338,0.199321,-0.161073,0.036977,8.10814,-26.24312,120389714,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,187500,1.02,1.04,561,0.19005,-0.264589,0.051974,10.86148,-33.30793,120389715,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,190000,1.79,1.82,1322,0.18282,-0.4073,0.064187,12.87993,-37.65704,120389716,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,192500,3,3.05,375,0.18022,-0.572448,0.066096,13.01504,-37.03727,120389717,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,195000,4.65,4.75,82,0.181949,-0.723687,0.056328,11.0843,-31.27954,120389718,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,197500,6.65,6.75,285,0.183393,-0.841272,0.041368,8.001881,-22.14062,120389719,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,200000,8.9,9.05,286,0.192969,-0.910284,0.027408,5.322231,-15.05744,120389720,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,202500,11.2,11.5,252,0.200017,-0.954553,0.017135,3.105735,-8.717479,120389721,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,205000,13.65,14.05,252,0.233486,-0.960325,0.013134,2.798215,-9.203508,120389722,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,140000,0,0.01,6,0.459397,-0.00091,0.000158,0.131599,-0.607818,120760395,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,160000,0.03,0.06,3,0.346481,-0.008904,0.001639,1.024488,-3.562553,120452025,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,165000,0.05,0.08,32,0.308466,-0.013797,0.002694,1.497839,-4.632169,120452027,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,170000,0.09,0.12,8,0.27349,-0.023596,0.004801,2.36437,-6.47097,120452029,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,172500,0.12,0.15,2,0.255549,-0.031285,0.0065,2.994428,-7.635732,120452030,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,175000,0.17,0.19,63,0.238475,-0.04275,0.008991,3.868331,-9.178154,120452031,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,177500,0.24,0.26,42,0.222464,-0.060283,0.012673,5.077309,-11.22613,120452032,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,180000,0.36,0.39,793,0.209502,-0.089409,0.018187,6.864752,-14.23753,120452033,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,182500,0.58,0.61,150,0.199549,-0.13621,0.025821,9.276338,-18.25325,120452034,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,185000,0.94,0.96,440,0.190744,-0.204876,0.03514,12.04932,-22.5542,120452035,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,187500,1.51,1.54,239,0.184469,-0.300673,0.044582,14.77886,-26.52862,120452036,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,190000,2.36,2.41,697,0.179794,-0.420031,0.051503,16.58706,-28.74537,120452037,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,192500,3.55,3.65,72,0.177577,-0.551833,0.053023,16.77177,-28.334,120452038,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,195000,5.1,5.2,42,0.175863,-0.679882,0.04888,15.15448,-24.87027,120452039,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,197500,6.95,7.1,1,0.176186,-0.788575,0.040241,12.22037,-19.60357,120452040,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,200000,9.1,9.2,8,0.178441,-0.869931,0.030207,8.907132,-13.98748,120452041,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,202500,11.4,11.55,2,0.187612,-0.918115,0.021718,6.31106,-10.14183,120452042,0,APPLE INC,A
101594,2018/06/11,2018/06/29,2018/06/11,P,205000,13.65,14.1,2,0.197257,-0.949572,0.015457,4.282285,-6.988882,120452043,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,162500,0,0.04,4,0.399888,-0.004877,0.001113,0.451035,-3.271028,120389705,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,165000,0.01,0.04,5,0.376786,-0.006316,0.001486,0.567978,-3.875952,120389706,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,167500,0.01,0.03,10,0.334909,-0.00575,0.001539,0.522995,-3.167692,120389707,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,170000,0.03,0.05,2,0.329932,-0.010923,0.002745,0.91972,-5.4816,120389708,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,172500,0.03,0.06,10,0.300414,-0.01323,0.00356,1.082715,-5.887166,120389709,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,175000,0.05,0.08,424,0.280536,-0.019555,0.005327,1.513277,-7.673941,120389710,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,177500,0.07,0.11,200,0.257754,-0.028139,0.007874,2.057209,-9.560699,120389711,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,180000,0.11,0.14,702,0.233584,-0.040923,0.011821,2.796344,-11.7632,120389712,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,182500,0.19,0.21,516,0.214138,-0.066129,0.018874,4.094744,-15.74155,120389713,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,185000,0.33,0.36,2429,0.196976,-0.112071,0.030429,6.053579,-21.38829,120389714,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,187500,0.66,0.67,2236,0.186455,-0.19852,0.047032,8.862368,-29.45071,120389715,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,190000,1.24,1.27,1413,0.177966,-0.331619,0.064228,11.54317,-36.30721,120389716,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,192500,2.25,2.28,1572,0.17329,-0.504395,0.072747,12.68939,-38.40247,120389717,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,195000,3.7,3.8,129,0.171081,-0.681312,0.066481,11.34624,-33.28104,120389718,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,197500,5.65,5.75,54,0.175623,-0.817492,0.048923,8.382625,-24.64382,120389719,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,200000,7.85,8,655,0.18284,-0.903844,0.031597,5.385996,-15.90037,120389720,0,APPLE INC,A
101594,2018/06/12,2018/06/22,2018/06/12,P,205000,12.7,12.85,15,0.217965,-0.966571,0.013312,2.343426,-7.727583,120389722,0,APPLE INC,A
101594,2018/06/12,2018/06/29,2018/06/12,P,140000,0,0.01,5,0.480134,-0.000892,0.000152,0.12623,-0.645572,120760395,0,APPLE INC,A
101594,2018/06/12,2018/06/29,2018/06/12,P,155000,0.01,0.03,2,0.383795,-0.003955,0.000738,0.487658,-1.992323,120452023,0,APPLE INC,A
101594,2018/06/12,2018/06/29,2018/06/12,P,167500,0.05,0.08,101,0.299262,-0.01449,0.002965,1.527938,-4.848904,120452028,0,APPLE INC,A
101594,2018/06/12,2018/06/29,2018/06/12,P,170000,0.07,0.1,26,0.282501,-0.019402,0.004031,1.958097,-5.867456,120452029,0,APPLE INC,A
101594,2018/06/12,2018/06/29,2018/06/12,P,172500,0.09,0.12,6,0.262684,-0.024986,0.005367,2.424386,-6.743999,120452030,0,APPLE INC,A
101594,2018/06/12,2018/06/29,2018/06/12,P,175000,0.12,0.15,324,0.243773,-0.033314,0.007344,3.078751,-7.932071,120452031,0,APPLE INC,A
101594,2018/06/12,2018/06/29,2018/06/12,P,177500,0.17,0.18,20,0.22427,-0.044954,0.010189,3.932972,-9.290816,120452032,0,APPLE INC,A
101594,2018/06/12,2018/06/29,2018/06/12,P,180000,0.25,0.28,675,0.210866,-0.067704,0.014975,5.43933,-12.03302,120452033,0,APPLE INC,A
101594,2018/06/12,2018/06/29,2018/06/12,P,182500,0.4,0.43,422,0.198603,-0.103794,0.02191,7.475772,-15.55267,120452034,0,APPLE INC,A
101594,2018/06/12,2018/06/29,2018/06/12,P,185000,0.66,0.69,655,0.188532,-0.160969,0.031281,10.13144,-19.89721,120452035,0,APPLE INC,A
101594,2018/06/12,2018/06/29,2018/06/12,P,187500,1.1,1.13,652,0.180714,-0.246137,0.042142,13.0798,-24.43602,120452036,0,APPLE INC,A
101594,2018/06/12,2018/06/29,2018/06/12,P,190000,1.8,1.85,812,0.17539,-0.361204,0.051706,15.53212,-27.92355,120452037,0,APPLE INC,A
101594,2018/06/12,2018/06/29,2018/06/12,P,192500,2.85,2.9,334,0.171922,-0.497153,0.056397,16.5394,-28.77131,120452038,0,APPLE INC,A
101594,2018/06/12,2018/06/29,2018/06/12,P,195000,4.25,4.35,23,0.170193,-0.636323,0.054042,15.5522,-26.30888,120452039,0,APPLE INC,A
101594,2018/06/12,2018/06/29,2018/06/12,P,197500,6,6.2,45,0.171798,-0.756982,0.045345,12.93913,-21.59326,120452040,0,APPLE INC,A
101594,2018/06/12,2018/06/29,2018/06/12,P,200000,8.1,8.25,1,0.175188,-0.848475,0.034402,9.67205,-15.96282,120452041,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,155000,0,0.03,2,0.493549,-0.003258,0.000668,0.296736,-2.946108,120389702,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,157500,0,0.03,7,0.458933,-0.003488,0.000764,0.315208,-2.911329,120389703,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,160000,0,0.03,21,0.424674,-0.003751,0.000881,0.336121,-2.873997,120389704,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,162500,0,0.04,90,0.403221,-0.005121,0.001225,0.443405,-3.602507,120389705,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,167500,0.01,0.05,25,0.351053,-0.008416,0.002184,0.686241,-4.860773,120389707,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,170000,0.01,0.05,53,0.31557,-0.009282,0.002647,0.749504,-4.756842,120389708,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,172500,0.03,0.05,60,0.291167,-0.012945,0.003831,0.999846,-5.855131,120389709,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,175000,0.05,0.06,256,0.266874,-0.018627,0.005711,1.366844,-7.323507,120389710,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,177500,0.08,0.1,126,0.248446,-0.030695,0.009331,2.079887,-10.35484,120389711,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,180000,0.13,0.15,3993,0.226409,-0.048936,0.014968,3.035834,-13.76269,120389712,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,182500,0.24,0.25,535,0.208281,-0.084671,0.0249,4.644198,-19.31499,120389713,0,APPLE INC,A
