PERMNO,date,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,DLRET,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR,OPENPRC,vwretd,ewretd,sprtrn
14593,2017/07/07,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,144.17999,19201712,0.010159,5169782,4,4,142.89999,0.006451,0.004721,0.006403
14593,2017/07/10,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,145.06000,21207636,0.006104,5169782,4,4,144.11000,0.000501,-0.000569,0.000928
14593,2017/07/11,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,145.53000,19781836,0.003240,5169782,4,4,144.73000,0.000236,0.000983,-0.000783
14593,2017/07/12,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,145.74001,24884478,0.001443,5169782,4,4,145.87000,0.007698,0.007062,0.007306
14593,2017/07/13,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,147.77000,25199373,0.013929,5169782,4,4,145.50000,0.001731,0.001716,0.001875
14593,2017/07/14,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,149.03999,20133949,0.008594,5169782,4,4,147.97000,0.004854,0.004238,0.004674
14593,2017/07/17,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,149.56000,23793456,0.003489,5169782,4,4,148.82001,0.000013,0.001124,-0.000053
14593,2017/07/18,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,150.08000,17868792,0.003477,5169782,4,4,149.20000,0.000457,-0.001659,0.000598
14593,2017/07/19,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,151.02000,20922969,0.006263,5169782,4,4,150.48000,0.005969,0.006293,0.005373
14593,2017/07/20,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,150.34000,17243748,-0.004503,5169782,4,4,151.50000,0.000032,0.000156,-0.000154
14593,2017/07/21,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,150.27000,26356690,-0.000466,5165228,4,4,149.99001,-0.000924,-0.002183,-0.000368
14593,2017/07/24,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,152.09000,21493160,0.012111,5165228,4,4,150.58000,-0.000133,-0.000294,-0.001064
14593,2017/07/25,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,152.74001,18854072,0.004274,5165228,4,4,151.80000,0.003464,0.003735,0.002923
14593,2017/07/26,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,153.46001,15782981,0.004714,5165228,4,4,153.35001,-0.000088,-0.000339,0.000283
14593,2017/07/27,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,150.56000,32478021,-0.018897,5165228,4,4,153.75000,-0.002094,-0.005113,-0.000973
14593,2017/07/28,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,149.50000,17213692,-0.007040,5165228,4,4,149.89000,-0.001069,-0.000600,-0.001341
14593,2017/07/31,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,148.73000,19847980,-0.005151,5165228,4,4,149.89999,-0.000860,-0.001476,-0.000728
14593,2017/08/01,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,150.05000,35394939,0.008875,5165228,4,4,149.10001,0.002360,-0.000040,0.002449
14593,2017/08/02,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,157.14000,69936800,0.047251,5165228,4,4,159.28000,-0.000989,-0.006714,0.000493
14593,2017/08/03,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,155.57001,27097296,-0.009991,5165228,4,4,157.05000,-0.002185,-0.003729,-0.002184
14593,2017/08/04,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,156.39000,20559852,0.005271,5165228,4,4,156.07001,0.002015,0.002573,0.001889
14593,2017/08/07,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,158.81000,21870321,0.015474,5165228,4,4,157.06000,0.001415,0.000187,0.001647
14593,2017/08/08,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,160.08000,36205993,0.007997,5165228,4,4,158.60001,-0.002774,-0.003534,-0.002414
14593,2017/08/09,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,161.06000,26131530,0.006122,5165228,4,4,159.25999,-0.001451,-0.006361,-0.000364
14593,2017/08/10,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,155.32001,40807281,-0.031727,5165228,4,4,159.89999,-0.014430,-0.014476,-0.014474
